submitted_on  ,latitude  ,longitude  ,gps_method  ,district  ,traditional_authority  ,group_village_headman  ,village  ,well_being_analysis  ,household_id  ,respondent_gender  ,attended_school  ,highest_education_qualification  ,marital_status  ,religion  ,main_income_source  ,monthly_family_income  ,household_size  ,main_water_source  ,waterpoint_functional_status  ,nonfunctional_reason  ,waterpoint_current_issues  ,waterpoint_current_problem  ,waterpoint_current_problem_other  ,water_collection_time_minutes  ,seasonal_water_shortage  ,shortage_months  ,daily_water_use_buckets  ,has_water_tariff  ,no_tariff_reason  ,no_tariff_reason_other  ,waterpoint_breakdown_response  ,willing_to_pay_for_improvement  ,current_tariff_kwacha  ,current_tariff_unknown  ,max_tariff_willing_to_pay  ,satisfaction_service_level  ,satisfaction_maintenance_fund  ,satisfaction_sanitation_hygiene  ,satisfaction_theft_protection  ,satisfaction_water_quality  
9/21/2021,-15.2403662,35.4570996,GPS,Zomba,Kuntumanji,Bamusi,Mbela Ndumba,Hanging-in,111,Female,No,NA,Widowed,Muslim,Farming,"Below K100,000",2,Borehole or tubewell,Functional,NA,No,NA,NA,5,No,NA,2,Yes ,NA,NA,NA,NA,100,NA,5000, Satisfied, Satisfied, Satisfied, Satisfied, Satisfied
9/21/2021,-15.240226,35.4572655,GPS,Zomba,Kuntumanji,Bamusi,Mbela Ndumba,Stepping-up,32,Female,Yes,Primary,Married ,Muslim,Farming,"Below K100,000",4,Borehole or tubewell,Functional,NA,No,NA,NA,5,No,NA,4,Yes ,NA,NA,NA,NA,500,NA,20000, Very satisfied, Satisfied, Very satisfied, Satisfied, Very satisfied
9/21/2021,-14.35238118,35.25161276,Map,Mangochi,Chowe,Abiti Kalanje,Abiti Kalanje,Stepping-up,130,Female,No,NA,Married ,Muslim,Farming," K100,001 – 250,000",5,Borehole or tubewell,Functional,NA,No,NA,NA,10,No,NA,6,Yes ,NA,NA,NA,NA,100,NA,50, Satisfied, Satisfied, Satisfied, Satisfied, Satisfied
9/21/2021,-14.22079022,35.27692795,Map,Mangochi,Chowe,Abiti Kalanje,Mlani Msyasya,Stepping-up,233,Female,No,NA,Single,Muslim,Farming,"Below K100,000",2, Unprotected dug well,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes ,NA,NA,NA,NA,NA,TRUE,NA, Satisfied, Satisfied, Satisfied, Satisfied, Satisfied
9/21/2021,-14.22212143,35.27589798,Map,Mangochi,Chowe,Abiti Kalanje,Mlani Msyasya,Stepping-up,127,Female,Yes,Primary,Married ,Christian,Farming," K100,001 – 250,000",6,Borehole or tubewell, Partially functional but in need of repair,NA,Yes,"Broken parts,  Worn out parts",NA,20,No,NA,8,Yes ,NA,NA,NA,NA,200,NA,200, Very satisfied, Satisfied, Satisfied, Satisfied, Very satisfied
9/21/2021,-14.22212143,35.27589798,Map,Mangochi,Chowe,Abiti Kalanje,Mlani Msyasya,Stepping-up,134,Female,No,NA,Married ,Muslim,Farming,"Below K100,000",8,Borehole or tubewell,Functional,NA,No,NA,NA,20,No,NA,11,Yes ,NA,NA,NA,NA,100,NA,100, Satisfied, Satisfied, Satisfied, Very satisfied, Very satisfied
9/21/2021,-14.48255289,35.25864601,Map,Mangochi,Chowe,Abiti Kalanje,Mlani Msyasya,Stepping-out,126,Male ,Yes,Primary,Married ,Muslim,Farming," K250,001-500,000",7,Borehole or tubewell,Functional,NA,No,NA,NA,25,No,NA,12,Yes ,NA,NA,NA,NA,100,NA,50, Very satisfied, Very satisfied, Very satisfied, Very satisfied, Very satisfied
9/21/2021,-14.22079022,35.27692795,Map,Mangochi,Chowe,Abiti Kalanje,Mlani Msyasya,Stepping-up,70,Female,No,NA,Married ,Muslim, Business or trading activities,"Below K100,000",4,Borehole or tubewell,Functional,NA,No,NA,NA,10,No,NA,4,Yes ,NA,NA,NA,NA,200,NA,100, Satisfied, Satisfied, Satisfied, Satisfied, Very satisfied
9/22/2021,-14.32391854,35.26783862,Map,Mangochi,Chowe,Abiti Kalanje,Abiti Kalanje,Stepping-up,179,Female,No,NA,Married ,Muslim,Farming,"Below K100,000",10,Borehole or tubewell,Functional,NA,No,NA,NA,15,No,NA,12,No,Other,It's a newly constructed borehole, Never experience breakdown,Yes ,NA,NA,NA, Somewhat satisfied, Somewhat satisfied, Satisfied, Satisfied, Very satisfied
9/21/2021,-14.22212143,35.27589798,Map,Mangochi,Chowe,Abiti Kalanje,Mlani Msyasya,Stepping-up,27,Male ,Yes,Secondary,Married ,Muslim, Business or trading activities,"Below K100,000",4,Borehole or tubewell,Functional,NA,No,NA,NA,15,No,NA,8,Yes ,NA,NA,NA,NA,200,NA,100, Very satisfied, Very satisfied, Very satisfied, Very satisfied, Very satisfied
9/21/2021,-14.48255289,35.25864601,Map,Mangochi,Chowe,Abiti Kalanje,Abiti Kalanje,Hanging-in,4,Female,Yes,Primary,Married ,Muslim,Farming,"Below K100,000",5,Borehole or tubewell,Functional,NA,Yes,Broken parts,NA,20,No,NA,4,Yes ,NA,NA,NA,NA,100,NA,50, Satisfied, Satisfied, Satisfied, Satisfied, Satisfied
9/21/2021,-14.22212143,35.27589798,Map,Mangochi,Chowe,Abiti Kalanje,Mlani Msyasya,Stepping-up,179,Female,Yes,Primary,Married ,Christian,Farming,"Below K100,000",3,Borehole or tubewell,Functional,NA,No,NA,NA,20,No,NA,8,Yes ,NA,NA,NA,NA,300,NA,200, Satisfied, Very satisfied, Very satisfied, Very satisfied, Very satisfied
9/21/2021,-14.22079022,35.27692795,Map,Mangochi,Chowe,Abiti Kalanje,Mlani Msyasya,Hanging-in,269,Female,No,NA,Married ,Muslim,Farming,"Below K100,000",5,Borehole or tubewell,Functional,NA,Yes,Broken parts,NA,20,No,NA,6,Yes ,NA,NA,NA,NA,100,NA,100, Satisfied, Satisfied, Satisfied, Satisfied, Satisfied
9/21/2021,-14.22079022,35.27692795,Map,Mangochi,Chowe,Abiti Kalanje,Mlani Msyasya,Stepping-up,278,Female,Yes,Primary,Married ,Muslim, Business or trading activities,"Below K100,000",4,Borehole or tubewell,Functional,NA,No,NA,NA,15,No,NA,3,Yes ,NA,NA,NA,NA,100,NA,200, Satisfied, Satisfied, Satisfied, Satisfied, Satisfied
9/21/2021,-14.22079022,35.27692795,Map,Mangochi,Chowe,Abiti Kalanje,Mlani Msyasya,Stepping-up,223,Male ,No,NA,Married ,Muslim, Business or trading activities," K100,001 – 250,000",4,Borehole or tubewell,Functional,NA,No,NA,NA,20,No,NA,8,Yes ,NA,NA,NA,NA,100,NA,100, Satisfied, Satisfied, Satisfied, Satisfied, Satisfied
9/21/2021,-14.22079022,35.27692795,Map,Mangochi,Chowe,Abiti Kalanje,Mlani Msyasya,Stepping-up,166,Female,No,NA,Married ,Muslim,Farming,"Below K100,000",7,Borehole or tubewell,Functional,NA,Yes,Broken parts,NA,5,No,NA,5,Yes ,NA,NA,NA,NA,100,NA,100, Satisfied, Somewhat satisfied, Satisfied, Very satisfied, Satisfied
9/21/2021,-14.22212143,35.27589798,Map,Mangochi,Chowe,Abiti Kalanje,Mlani Msyasya,Stepping-up,19,Male ,Yes,Primary,Married ,Muslim,Farming,"Below K100,000",8,Borehole or tubewell,Functional,NA,Yes,Broken parts,NA,10,No,NA,8,Yes ,NA,NA,NA,NA,20,NA,100, Satisfied, Satisfied, Very satisfied, Satisfied, Very satisfied
9/21/2021,-14.22212143,35.27589798,Map,Mangochi,Chowe,Abiti Kalanje,Mlani Msyasya,Stepping-up,55,Male ,No,NA,Married ,Muslim, Income from piecework or ganyu,"Below K100,000",6,Borehole or tubewell,Functional,NA,No,NA,NA,25,No,NA,10,Yes ,NA,NA,NA,NA,200,NA,200, Satisfied, Satisfied, Satisfied, Satisfied, Very satisfied
9/21/2021,-14.22079022,35.27692795,Map,Mangochi,Chowe,Abiti Kalanje,Mlani Msyasya,Hanging-in,269,Female,No,NA,Married ,Muslim,Farming,"Below K100,000",5,Borehole or tubewell,Functional,NA,No,NA,NA,20,No,NA,8,Yes ,NA,NA,NA,NA,100,NA,100, Satisfied, Satisfied, Satisfied, Satisfied, Satisfied
9/21/2021,-14.22212143,35.27589798,Map,Mangochi,Chowe,Abiti Kalanje,Mlani Msyasya,Stepping-up,201,Female,Yes,Primary,Married ,Muslim, Business or trading activities,"Below K100,000",5,Borehole or tubewell,Functional,NA,No,NA,NA,25,No,NA,9,Yes ,NA,NA,NA,NA,200,NA,100, Satisfied, Satisfied, Satisfied, Very satisfied,Very Dissatisfied
9/21/2021,-14.22212143,35.27589798,Map,Mangochi,Chowe,Abiti Kalanje,Mlani Msyasya,Hanging-in,170,Male ,Yes,Primary,Married ,Christian, Income from piecework or ganyu," K100,001 – 250,000",7,Borehole or tubewell,Functional,NA,No,NA,NA,25,No,NA,8,Yes ,NA,NA,NA,NA,200,NA,100, Somewhat satisfied, Very satisfied, Very satisfied, Very satisfied, Very satisfied
9/21/2021,-14.22212143,35.27589798,Map,Mangochi,Chowe,Abiti Kalanje,Mlani Msyasya,Stepping-up,263,Female,No,NA,Married ,Muslim, Business or trading activities,"Below K100,000",8,Borehole or tubewell,Functional,NA,No,NA,NA,12,No,NA,12,Yes ,NA,NA,NA,NA,200,NA,100, Satisfied, Very satisfied, Very satisfied, Very satisfied, Very satisfied
9/21/2021,-14.35238118,35.25161276,Map,Mangochi,Chowe,Abiti Kalanje,Abiti Kalanje,Stepping-up,246,Female,No,NA,Married ,Muslim,Farming,"Below K100,000",7,Borehole or tubewell,Functional,NA,No,NA,NA,10,No,NA,7,Yes ,NA,NA,NA,NA,50,NA,50, Satisfied, Satisfied, Satisfied, Satisfied, Satisfied
9/21/2021,-14.1832081,35.227368,GPS,Mangochi,Namabvi,Fowo,Mtumbula,Hanging-in,18,Female,No,NA,Married ,Muslim,Farming,"Below K100,000",8,Borehole or tubewell,Functional,NA,No,NA,NA,35,No,NA,10,Yes ,NA,NA,NA,NA,200,NA,200, Satisfied, Satisfied, Satisfied, Satisfied, Satisfied
9/21/2021,-14.1829782,35.2274536,GPS,Mangochi,Namabvi,Fowo,Mtumbula,Stepping-up,16,Female,No,NA,Married ,Muslim,Farming,"Below K100,000",4,Borehole or tubewell,Functional,NA,No,NA,NA,35,No,NA,6,Yes ,NA,NA,NA,NA,200,NA,200, Satisfied, Satisfied, Satisfied, Satisfied, Satisfied
9/21/2021,-14.1803588,35.2237542,GPS,Mangochi,Namabvi,Fowo,Mtumbula,Hanging-in,3,Female,No,NA,Divorced,Muslim,Farming,"Below K100,000",4,Borehole or tubewell,Functional,NA,No,NA,NA,40,No,NA,6,Yes ,NA,NA,NA,NA,250,NA,250, Very satisfied, Satisfied, Very satisfied, Very satisfied, Very satisfied
9/21/2021,-14.17568,35.2309083,GPS,Mangochi,Namabvi,Fowo,Mtumbula,Stepping-up,39,Female,No,NA,Married ,Muslim, Business or trading activities,"Below K100,000",7,Borehole or tubewell,Functional,NA,No,NA,NA,120,No,NA,9,Yes ,NA,NA,NA,NA,200,NA,200, Satisfied, Satisfied, Satisfied, Satisfied, Very satisfied
9/21/2021,-14.183004,35.2274848,GPS,Mangochi,Namabvi,Fowo,Mtumbula,Stepping-up,15,Female,No,NA,Widowed,Muslim,Farming,"Below K100,000",8,Borehole or tubewell,Functional,NA,No,NA,NA,20,No,NA,8,Yes ,NA,NA,NA,NA,200,NA,200, Satisfied, Satisfied, Satisfied, Satisfied, Satisfied
9/21/2021,-14.1215325,35.1958942,GPS,Mangochi,Namabvi,Namalaka,Mnani,Stepping-up,8,Female,No,NA,Divorced,Muslim,Farming,"Below K100,000",8,Borehole or tubewell,Functional,NA,No,NA,NA,60,No,NA,6,Yes ,NA,NA,NA,NA,100,NA,100, Somewhat satisfied, Somewhat satisfied, Somewhat satisfied, Somewhat satisfied, Satisfied
9/21/2021,-14.1210116,35.19579,GPS,Mangochi,Namabvi,Namalaka,Mnani,Stepping-up,42,Female,No,NA,Married ,Muslim, Business or trading activities, Don’t know/Don't remember,6,Borehole or tubewell,Functional,NA,No,NA,NA,50,No,NA,5,Yes ,NA,NA,NA,NA,200,NA,200, Very satisfied, Very satisfied, Very satisfied, Satisfied, Satisfied
9/21/2021,-14.1213811,35.1928423,GPS,Mangochi,Namabvi,Namalaka,Nkuwu,Hanging-in,20,Female,No,NA,Married ,Muslim,Farming,"Below K100,000",6,Borehole or tubewell, Partially functional but in need of repair,NA,Yes, Worn out parts,NA,80,No,NA,8,Yes ,NA,NA,NA,NA,200,NA,200, Somewhat satisfied, Somewhat satisfied, Somewhat satisfied, Somewhat satisfied, Satisfied
9/21/2021,-14.1208559,35.1961838,GPS,Mangochi,Namabvi,Namalaka,Mnani,Hanging-in,43,Female,Yes,Primary,Single,Muslim, Income from piecework or ganyu,"Below K100,000",2,Borehole or tubewell,Functional,NA,No,NA,NA,40,No,NA,4,Yes ,NA,NA,NA,NA,200,NA,200, Very satisfied, Satisfied, Satisfied, Satisfied, Very satisfied
9/21/2021,-14.1853246,35.2250848,GPS,Mangochi,Namabvi,Fowo,Mtumbula,Hanging-in,86,Male ,Yes,Primary,Divorced,Muslim,Farming,"Below K100,000",4,Borehole or tubewell, Partially functional but in need of repair,NA,Yes, Worn out parts,NA,10,No,NA,7,Yes ,NA,NA,NA,NA,200,NA,200, Satisfied, Satisfied, Somewhat satisfied, Very satisfied, Dissatisfied
9/21/2021,-14.1823339,35.2294908,GPS,Mangochi,Namabvi,Fowo,Mtumbula,Stepping-up,94,Female,Yes,Primary,Married ,Muslim,Farming,"Below K100,000",5,Borehole or tubewell,Functional,NA,No,NA,NA,60,No,NA,10,Yes ,NA,NA,NA,NA,200,NA,200, Very satisfied, Very satisfied, Very satisfied, Very satisfied, Very satisfied
9/21/2021,-14.1213084,35.1929384,GPS,Mangochi,Namabvi,Namalaka,Nkuwu,Hanging-in,16,Female,Yes,Primary,Widowed,Muslim, Income from piecework or ganyu,"Below K100,000",7,Borehole or tubewell, Partially functional but in need of repair,NA,Yes, Worn out parts,NA,120,No,NA,10,Yes ,NA,NA,NA,NA,200,NA,200, Dissatisfied, Dissatisfied, Dissatisfied, Dissatisfied, Satisfied
9/21/2021,-14.2616946,35.2539088,GPS,Mangochi,Chowe,Abiti Kalanje,Abiti Kalanje,Stepping-up,146,Male ,No,NA,Married ,Muslim,Farming,"Below K100,000",5,Borehole or tubewell,Functional,NA,No,NA,NA,15,No,NA,5,Yes ,NA,NA,NA,NA,100,NA,200, Very satisfied, Very satisfied, Very satisfied, Very satisfied, Very satisfied
9/21/2021,-14.2624127,35.258487,GPS,Mangochi,Chowe,Abiti Kalanje,Abiti Kalanje,Hanging-in,119,Male ,Yes,Primary,Married ,Muslim,Farming,"Below K100,000",7,Borehole or tubewell,Functional,NA,No,NA,NA,35,No,NA,4,No,Service provider (e.g. committee) has had no training,NA, Report to private contractor Includes Area Mechanic,Yes ,NA,NA,NA, Satisfied, Very satisfied, Very satisfied, Very satisfied, Very satisfied
9/21/2021,-14.261733,35.2537106,GPS,Mangochi,Chowe,Abiti Kalanje,Abiti Kalanje,Hanging-in,145,Female,No,NA,Married ,Muslim,Farming,"Below K100,000",6,Borehole or tubewell,Functional,NA,No,NA,NA,35,No,NA,6,Yes ,NA,NA,NA,NA,100,NA,200, Satisfied, Satisfied, Very satisfied, Very satisfied, Very satisfied
9/21/2021,-14.2628308,35.2552515,GPS,Mangochi,Chowe,Abiti Kalanje,Abiti Kalanje,Stepping-up,47,Female,No,NA,Widowed,Muslim,Farming,"Below K100,000",2,Borehole or tubewell,Functional,NA,No,NA,NA,15,No,NA,5,Yes ,NA,NA,NA,NA,100,NA,200, Very satisfied, Very satisfied, Very satisfied, Very satisfied, Very satisfied
9/21/2021,-14.2627511,35.2556404,GPS,Mangochi,Chowe,Abiti Kalanje,Abiti Kalanje,Stepping-up,241,Female,No,NA,Married ,Muslim,Farming,"Below K100,000",2,Borehole or tubewell,Functional,NA,No,NA,NA,10,No,NA,4,Yes ,NA,NA,NA,NA,100,NA,500, Very satisfied, Very satisfied, Very satisfied, Satisfied, Very satisfied
9/21/2021,-14.2627614,35.2555366,GPS,Mangochi,Chowe,Abiti Kalanje,Abiti Kalanje,Stepping-up,30,Female,Yes,Primary,Divorced,Muslim,Farming,"Below K100,000",7,Borehole or tubewell,Functional,NA,No,NA,NA,10,No,NA,7,Yes ,NA,NA,NA,NA,100,NA,100, Very satisfied, Very satisfied, Very satisfied, Very satisfied, Very satisfied
9/22/2021,-14.2602188,35.2557196,GPS,Mangochi,Chowe,Abiti Kalanje,Abiti Kalanje,Stepping-up,153,Male ,Yes,Primary,Married ,Muslim,Farming,"Below K100,000",5,Borehole or tubewell,Functional,NA,No,NA,NA,100,No,NA,6,Yes ,NA,NA,NA,NA,100,NA,200, Very satisfied, Very satisfied, Very satisfied, Very satisfied, Very satisfied
9/21/2021,-14.2661362,35.2569927,GPS,Mangochi,Chowe,Abiti Kalanje,Abiti Kalanje,Stepping-up,261,Female,No,NA,Married ,Muslim,Farming,"Below K100,000",6,Borehole or tubewell,Functional,NA,No,NA,NA,10,No,NA,6,Yes ,NA,NA,NA,NA,100,NA,200, Very satisfied, Very satisfied, Very satisfied, Very satisfied, Very satisfied
9/21/2021,-14.263553,35.2556257,GPS,Mangochi,Chowe,Abiti Kalanje,Abiti Kalanje,Stepping-up,195,Female,No,NA,Married ,Christian,Farming,"Below K100,000",4,Borehole or tubewell,Functional,NA,No,NA,NA,20,No,NA,4,Yes ,NA,NA,NA,NA,100,NA,100, Very satisfied, Very satisfied, Very satisfied, Very satisfied, Very satisfied
9/21/2021,-14.2614847,35.2570045,GPS,Mangochi,Chowe,Abiti Kalanje,Abiti Kalanje,Stepping-up,7,Female,No,NA,Married ,Muslim,Farming,"Below K100,000",8,Borehole or tubewell,Functional,NA,No,NA,NA,20,No,NA,3,Yes ,NA,NA,NA,NA,100,NA,100, Very satisfied, Very satisfied, Very satisfied, Very satisfied, Very satisfied
9/21/2021,-14.2644147,35.2576418,GPS,Mangochi,Chowe,Abiti Kalanje,Abiti Kalanje,Stepping-up,56,Male ,Yes,Primary,Married ,Muslim,Farming,"Below K100,000",2,Borehole or tubewell,Functional,NA,No,NA,NA,20,Yes,"October, November",7,Yes ,NA,NA,NA,NA,100,NA,200, Very satisfied, Very satisfied, Satisfied, Very satisfied, Very satisfied
9/21/2021,-14.2607488,35.2555167,GPS,Mangochi,Chowe,Abiti Kalanje,Abiti Kalanje,Stepping-up,232,Female,No,NA,Married ,Prefer not to say,Farming,"Below K100,000",9,Borehole or tubewell,Functional,NA,No,NA,NA,25,No,NA,8,Yes ,NA,NA,NA,NA,100,NA,200, Very satisfied, Very satisfied, Very satisfied, Very satisfied, Very satisfied
9/21/2021,-14.2660067,35.2565067,GPS,Mangochi,Chowe,Abiti Kalanje,Abiti Kalanje,Hanging-in,73,Female,No,NA,Married ,Muslim,Farming,"Below K100,000",8,Borehole or tubewell,Functional,NA,No,NA,NA,15,No,NA,10,Yes ,NA,NA,NA,NA,100,NA,100, Very satisfied, Very satisfied, Very satisfied, Very satisfied, Very satisfied
9/21/2021,-14.2615065,35.2553745,GPS,Mangochi,Chowe,Abiti Kalanje,Abiti Kalanje,Hanging-in,76,Male ,Yes,Primary,Married ,Muslim,Farming,"Below K100,000",7,Borehole or tubewell,Functional,NA,No,NA,NA,25,No,NA,5,Yes ,NA,NA,NA,NA,100,NA,200, Very satisfied, Very satisfied, Very satisfied, Very satisfied, Very satisfied
9/21/2021,-14.2644787,35.2565257,GPS,Mangochi,Chowe,Abiti Kalanje,Abiti Kalanje,Hanging-in,118,Female,No,NA,Divorced,Muslim,Farming,"Below K100,000",6,Borehole or tubewell,Functional,NA,No,NA,NA,40,Yes,"August, September, October, November",5,No,Service provider (e.g. committee) has had no training,NA, Contribute to maintain,Yes ,NA,NA,NA,Very Dissatisfied, Dissatisfied, Very satisfied, Very satisfied, Neither satisfied nor dissatisfied
9/21/2021,-14.2654717,35.2573883,GPS,Mangochi,Chowe,Abiti Kalanje,Abiti Kalanje,Stepping-up,264,Female,No,NA,Widowed,Muslim,Farming,"Below K100,000",3,Borehole or tubewell,Functional,NA,No,NA,NA,40,Yes,"October, November",5,Yes ,NA,NA,NA,NA,100,NA,200, Very satisfied, Very satisfied, Very satisfied, Very satisfied, Very satisfied
9/21/2021,-14.26162,35.2539858,GPS,Mangochi,Chowe,Abiti Kalanje,Abiti Kalanje,Hanging-in,151,Female,Yes,Primary,Married ,Muslim,Farming," K500,001- 750,000",13,Borehole or tubewell,Functional,NA,No,NA,NA,40,No,NA,6,Yes ,NA,NA,NA,NA,100,NA,100, Very satisfied, Very satisfied, Very satisfied, Very satisfied, Very satisfied
9/21/2021,-14.2582353,35.256086,GPS,Mangochi,Chowe,Abiti Kalanje,Abiti Kalanje,Hanging-in,4,Female,Yes,Primary,Married ,Muslim, Income from piecework or ganyu," K100,001 – 250,000",5,Borehole or tubewell,Functional,NA,No,NA,NA,30,No,NA,6,Yes ,NA,NA,NA,NA,150,NA,500, Very satisfied, Very satisfied, Very satisfied, Very satisfied, Very satisfied
9/21/2021,-14.264306,35.2574016,GPS,Mangochi,Chowe,Abiti Kalanje,Abiti Kalanje,Stepping-up,245,Female,No,NA,Married ,Muslim, Income from piecework or ganyu,"Below K100,000",4,Borehole or tubewell,Functional,NA,No,NA,NA,20,No,NA,6,Yes ,NA,NA,NA,NA,100,NA,200, Satisfied, Dissatisfied, Very satisfied, Satisfied, Very satisfied
9/21/2021,-14.2656847,35.2575764,GPS,Mangochi,Chowe,Abiti Kalanje,Abiti Kalanje,Stepping-up,128,Female,No,NA,Married ,Muslim,Farming,"Below K100,000",3,Borehole or tubewell,Functional,NA,No,NA,NA,30,No,NA,4,Yes ,NA,NA,NA,NA,100,NA,200, Satisfied, Very satisfied, Very satisfied, Very satisfied, Very satisfied
9/22/2021,-14.2562389,35.2548478,GPS,Mangochi,Chowe,Abiti Kalanje,Abiti Kalanje,Stepping-up,320,Female,No,NA,Married ,Muslim,Farming,"Below K100,000",7,Borehole or tubewell,Functional,NA,No,NA,NA,30,No,NA,6,Yes ,NA,NA,NA,NA,100,NA,200, Very satisfied, Very satisfied, Satisfied, Satisfied, Very satisfied
9/21/2021,-14.5886981,34.8772548,GPS,Mangochi,Ntonda,Nsembe,Ambere,Stepping-up,20,Female,No,NA,Married ,Muslim,Farming,"Below K100,000",8,Borehole or tubewell,Functional,NA,No,NA,NA,40,No,NA,10,Yes ,NA,NA,NA,NA,1000,NA,500, Satisfied, Satisfied, Satisfied, Somewhat satisfied, Satisfied
9/21/2021,-14.5754821,34.8738383,GPS,Mangochi,Ntonda,Nsembe,Nsembe,Hanging-in,25,Female,Yes,Secondary,Single,Christian,Farming,"Below K100,000",7,Borehole or tubewell,Functional,NA,Yes," Low water flow - Low water pressure, Broken parts,  Worn out parts",NA,15,No,NA,8,Yes ,NA,NA,NA,NA,200,NA,500, Satisfied, Satisfied, Somewhat satisfied, Satisfied, Satisfied
9/21/2021,-14.5840225,34.8703808,GPS,Mangochi,Ntonda,Nsembe,Nsembe,Stepping-up,30,Male ,Yes,Primary,Single,Christian,Farming,"Below K100,000",3,Borehole or tubewell,Functional,NA,Don't know,NA,NA,10,No,NA,6,Yes ,NA,NA,NA,NA,NA,TRUE,NA, Satisfied, Satisfied, Satisfied, Somewhat satisfied, Satisfied
9/21/2021,-14.577001,34.8789943,GPS,Mangochi,Ntonda,Nsembe,Nsembe,Hanging-in,119,Male ,No,NA,Married ,Christian,Farming,"Below K100,000",6,Borehole or tubewell,Functional,NA,No,NA,NA,50,No,NA,8,Yes ,NA,NA,NA,NA,200,NA,500, Satisfied, Satisfied, Satisfied, Somewhat satisfied, Satisfied
9/21/2021,-14.6018532,34.8613105,GPS,Mangochi,Ntonda,Nsembe,Ambere,Stepping-up,59,Female,No,NA,Married ,Christian,Farming,"Below K100,000",2,Borehole or tubewell,Functional,NA,No,NA,NA,360,No,NA,4,Yes ,NA,NA,NA,NA,1000,NA,500, Satisfied, Dissatisfied, Satisfied, Somewhat dissatisfied, Satisfied
9/21/2021,-14.5833212,34.8701431,GPS,Mangochi,Ntonda,Nsembe,Nsembe,Stepping-up,102,Female,Yes,Primary,Single,Christian,Farming,"Below K100,000",3,Borehole or tubewell,Functional,NA,No,NA,NA,30,No,NA,6,Yes ,NA,NA,NA,NA,500,NA,200, Satisfied, Satisfied, Somewhat satisfied, Satisfied, Satisfied
9/21/2021,-14.5715576,34.8735903,GPS,Mangochi,Ntonda,Nsembe,Nsembe,Stepping-up,100,Female,Yes,Primary,Married ,Christian,Farming,"Below K100,000",6,Borehole or tubewell,Functional,NA,Yes,"Broken parts,  Low water flow - Low water pressure,  Worn out parts",NA,30,No,NA,5,Yes ,NA,NA,NA,NA,200,NA,100, Satisfied, Satisfied, Dissatisfied, Dissatisfied, Satisfied
9/21/2021,-14.7020134,34.9757259,GPS,Mangochi,Chilipa,Bwanado,Bwanado 2,Hanging-in,50,Female,Yes,Secondary,Divorced,Muslim,Farming,"Below K100,000",6,Borehole or tubewell,Functional,NA,No,NA,NA,10,No,NA,8,Yes ,NA,NA,NA,NA,200,NA,200, Very satisfied, Satisfied, Satisfied, Somewhat satisfied, Very satisfied
9/21/2021,-14.7020995,34.9758217,GPS,Mangochi,Chilipa,Bwanado,Bwanado 2,Stepping-up,51,Female,No,NA,Divorced,Muslim,Farming,"Below K100,000",4,Borehole or tubewell,Functional,NA,No,NA,NA,20,No,NA,8,Yes ,NA,NA,NA,NA,100,NA,100, Satisfied, Satisfied, Satisfied, Somewhat satisfied, Very satisfied
9/21/2021,-14.7633717,35.00088,GPS,Mangochi,Chilipa,Nasuluma,Machokola,Stepping-up,14,Male ,Yes,Primary,Married ,Christian,Farming,"Below K100,000",6,Borehole or tubewell, Partially functional but in need of repair,NA,Yes, Low water flow - Low water pressure,NA,35,Yes,"August, September, October, November",7,Yes ,NA,NA,NA,NA,500,NA,250, Satisfied, Very satisfied, Neither satisfied nor dissatisfied, Somewhat satisfied, Very satisfied
9/21/2021,-14.7601017,35.0007983,GPS,Mangochi,Chilipa,Nasuluma,Machokola,Stepping-up,10,Female,Yes,Primary,Single,Christian, Income from piecework or ganyu,"Below K100,000",4,Borehole or tubewell, Partially functional but in need of repair,NA,Yes, Low water flow - Low water pressure,NA,25,Yes,"August, September, October, November",5,Yes ,NA,NA,NA,NA,1000,NA,500, Satisfied, Satisfied, Somewhat satisfied, Satisfied, Very satisfied
9/21/2021,-14.7018,34.9753934,GPS,Mangochi,Chilipa,Bwanado,Bwanado 2,Stepping-out,80,Female,No,NA,Married ,Muslim,Farming,"Below K100,000",7,Borehole or tubewell,Functional,NA,No,NA,NA,20,No,NA,NA,Yes ,NA,NA,NA,NA,100,NA,100, Satisfied, Satisfied, Satisfied, Somewhat satisfied, Very satisfied
9/21/2021,-14.7630683,35.00666,GPS,Mangochi,Chilipa,Nasuluma,Gwembe,Stepping-up,33,Male ,Yes,Primary,Married ,Christian,Farming,"Below K100,000",3,Borehole or tubewell,Functional,NA,No,NA,NA,20,No,NA,6,Yes ,NA,NA,NA,NA,100,NA,100, Very satisfied, Satisfied, Satisfied, Satisfied, Very satisfied
9/21/2021,-14.7605033,35.0035267,GPS,Mangochi,Chilipa,Nasuluma,Machokola,Hanging-in,17,Female,Yes,Primary,Widowed,Christian,Farming,"Below K100,000",4,Borehole or tubewell, Partially functional but in need of repair,NA,Yes, Low water flow - Low water pressure,NA,20,Yes,"August, September, October, November",6,Yes ,NA,NA,NA,NA,1000,NA,250, Satisfied, Satisfied, Satisfied, Dissatisfied, Very satisfied
